# edc4dd1c-30cb-45f6-8f35-f76317b3efb0
# cf8e473bd22a2bc458ef47a988bc0f0f25db0ad3
# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.0000000, 0.1068056, 0.1468700, -1.6522564, 0.0142392, 4.1666667, 0.0000000
0.3993860, 0.5052396, 0.1157559, -1.6445109, 0.0245939, 4.1666667, 0.0000000
0.7987721, 0.9037584, 0.0884694, -1.6334282, 0.0305969, 4.1666667, 0.0000000
1.1981581, 1.3025403, 0.0660194, -1.6204027, 0.0343425, 4.1666667, 0.0000000
1.5975441, 1.7015517, 0.0490100, -1.6063034, 0.0359324, 4.1666667, 0.0000000
1.9969301, 2.1007617, 0.0377080, -1.5919073, 0.0358984, 4.1666667, 0.0000000
2.3963162, 2.5000877, 0.0321150, -1.5777905, 0.0345729, 4.1666667, 0.0000000
2.7957022, 2.8994466, 0.0320237, -1.5644250, 0.0321673, 4.1666667, 0.0000000
3.1950882, 3.2987606, 0.0370504, -1.5522245, 0.0287443, 4.1666667, 0.0000000
3.5944743, 3.6979713, 0.0466464, -1.5416108, 0.0241981, 4.1666667, 0.0000000
3.9938603, 4.0970471, 0.0600807, -1.5330832, 0.0182460, 4.1666667, 0.0000000
4.3932463, 4.4959927, 0.0763968, -1.5272893, 0.0104372, 4.1666667, 0.0000000
4.7926324, 4.8948454, 0.0943409, -1.5250817, 0.0002130, 4.1666667, 0.0000000
5.1920184, 5.2936873, 0.1122765, -1.5275293, -0.0129150, 4.1666667, 0.0000000
5.5914044, 5.6925656, 0.1281034, -1.5358694, -0.0293003, 4.1666667, 0.0000000
5.9907904, 6.0916897, 0.1392289, -1.5512859, -0.0483583, 4.1666667, 0.0000000
6.3901765, 6.4911097, 0.1426350, -1.5746244, -0.0687664, 4.1666667, 0.0000000
6.7895625, 6.8905310, 0.1350714, -1.6062060, -0.0893492, 4.1666667, 0.0000000
7.1889485, 7.2894488, 0.1132714, -1.6458586, -0.1088442, 4.1666667, 0.0000000
7.5883346, 7.6870586, 0.0741608, -1.6929817, -0.1264063, 4.1666667, 0.0000000
7.9877206, 8.0821820, 0.0150336, -1.7466845, -0.1415652, 4.1666667, 0.0000000
8.3871066, 8.4733117, -0.0663341, -1.8059562, -0.1542063, 4.1666667, 0.0000000
8.7864926, 8.8586628, -0.1716300, -1.8697900, -0.1644396, 4.1666667, 0.0000000
9.1858787, 9.2362446, -0.3019980, -1.9372596, -0.1725042, 4.1666667, 0.0000000
9.5852647, 9.6039328, -0.4580597, -2.0075497, -0.1786581, 4.1666667, 0.0000000
9.9846507, 9.9595430, -0.6399485, -2.0799362, -0.1830455, 4.1666667, 0.0000000
10.3840368, 10.3009050, -0.8473333, -2.1537030, -0.1855377, 4.1666667, 0.0000000
10.7834228, 10.6259561, -1.0794146, -2.2280285, -0.1859235, 4.1666667, 0.0000000
11.1828088, 10.9328531, -1.3349331, -2.3020409, -0.1840335, 4.1666667, 0.0000000
11.5821948, 11.2199864, -1.6121045, -2.3747756, -0.1797574, 4.1666667, 0.0000000
11.9815809, 11.4863774, -1.9088956, -2.4449828, -0.1721048, 4.1666667, 0.0000000
12.3809669, 11.7318888, -2.2233147, -2.5116734, -0.1621853, 4.1666667, 0.0000000
12.7803529, 11.9567180, -2.5531723, -2.5742566, -0.1510150, 4.1666667, 0.0000000
13.1797390, 12.1613154, -2.8960735, -2.6322007, -0.1389231, 4.1666667, 0.0000000
13.5791250, 12.3464757, -3.2495722, -2.6851364, -0.1262020, 4.1666667, 0.0000000
13.9785110, 12.5136334, -3.6120049, -2.7329073, -0.1131056, 4.1666667, 0.0000000
14.3778971, 12.6642963, -3.9817010, -2.7754455, -0.0999755, 4.1666667, 0.0000000
14.7772831, 12.8001087, -4.3571977, -2.8127911, -0.0870829, 4.1666667, 0.0000000
15.1766691, 12.9227945, -4.7372565, -2.8450759, -0.0746272, 4.1666667, 0.0000000
15.5760551, 13.0341029, -5.1208554, -2.8724962, -0.0627278, 4.1666667, 0.0000000
15.9754412, 13.1357656, -5.5071655, -2.8952842, -0.0514428, 4.1666667, 0.0000000
16.3748272, 13.2294669, -5.8955191, -2.9136889, -0.0407999, 4.1666667, 0.0000000
16.7742132, 13.3168232, -6.2853774, -2.9279720, -0.0308199, 4.1666667, 0.0000000
17.1735993, 13.3993683, -6.6763012, -2.9383986, -0.0214893, 4.1666667, 0.0000000
17.5729853, 13.4785480, -7.0679248, -2.9452172, -0.0127399, 4.1666667, 0.0000000
17.9723713, 13.5557023, -7.4598145, -2.9486325, -0.0044373, 4.1666667, 0.0000000
18.3717573, 13.6321362, -7.8517193, -2.9487897, 0.0036024, 4.1666667, 0.0000000
18.7711434, 13.7091485, -8.2435859, -2.9457559, 0.0115850, 4.1666667, 0.0000000
19.1705294, 13.7879864, -8.6351495, -2.9395180, 0.0196916, 4.1666667, 0.0000000
19.5699154, 13.8699119, -9.0261178, -2.9299949, 0.0280710, 4.1666667, 0.0000000
19.9693015, 13.9562221, -9.4161559, -2.9170545, 0.0368063, 4.1666667, 0.0000000
20.3686875, 14.0482587, -9.8048720, -2.9005467, 0.0458998, 4.1666667, 0.0000000
20.7680735, 14.1474030, -10.1918034, -2.8803420, 0.0552720, 4.1666667, 0.0000000
21.1674596, 14.2550546, -10.5764036, -2.8563652, 0.0647639, 4.1666667, 0.0000000
21.5668456, 14.3725971, -10.9580358, -2.8286330, 0.0741230, 4.1666667, 0.0000000
21.9662316, 14.5013488, -11.3359702, -2.7972752, 0.0830696, 4.1666667, 0.0000000
22.3656176, 14.6426085, -11.7096495, -2.7625545, 0.0908405, 4.1666667, 0.0000000
22.7650037, 14.7973122, -12.0779863, -2.7249275, 0.0975489, 4.1666667, 0.0000000
23.1643897, 14.9661275, -12.4398977, -2.6851687, 0.1006707, 4.1666667, 0.0000000
23.5637757, 15.1491694, -12.7945506, -2.6453190, 0.0978142, 4.1666667, 0.0000000
23.9631618, 15.3459213, -13.1419517, -2.6079001, 0.0884453, 4.1666667, 0.0000000
24.3625478, 15.5548380, -13.4823762, -2.5757562, 0.0692609, 4.1666667, 0.0000000
24.7619338, 15.7730143, -13.8169926, -2.5543700, 0.0318338, 4.1666667, 0.0000000
25.1613198, 15.9953554, -14.1489647, -2.5527278, -0.0316153, 4.1666667, 0.0000000
25.5607059, 16.2133348, -14.4837435, -2.5814827, -0.1116394, 4.1666667, 0.0000000
25.9600919, 16.4160903, -14.8277152, -2.6411009, -0.1787068, 4.1666667, 0.0000000
26.3594779, 16.5940303, -15.1850490, -2.7205079, -0.2128842, 4.1666667, 0.0000000
26.7588640, 16.7412916, -15.5561489, -2.8078565, -0.2220622, 4.1666667, 0.0000000
27.1582500, 16.8552749, -15.9388654, -2.8963575, -0.2207976, 4.1666667, 0.0000000
27.5576360, 16.9351294, -16.3301429, -2.9840850, -0.2190422, 4.1666667, 0.0000000
27.9570221, 16.9804534, -16.7268759, -3.0717295, -0.2208570, 4.1666667, 0.0000000
28.3564081, 16.9905827, -17.1260547, 3.1219500, -0.2284472, 4.1666667, 0.0000000
28.7557941, 16.9642623, -17.5245390, 3.0285136, -0.2408024, 4.1666667, 0.0000000
29.1551801, 16.8996383, -17.9187928, 2.9284272, -0.2594953, 4.1666667, 0.0000000
29.5545662, 16.7943939, -18.3047165, 2.8209594, -0.2774490, 4.1666667, 0.0000000
29.9539522, 16.6467638, -18.6769979, 2.7055709, -0.2995968, 4.1666667, -0.2220511
30.3533382, 16.4557265, -19.0281435, 2.5786209, -0.3367407, 4.1453278, -0.3320543
30.7527243, 16.2211418, -19.3477817, 2.4355828, -0.3809349, 4.1132113, -0.7628289
31.1521103, 15.9398507, -19.6292251, 2.2717414, -0.4550038, 4.0384627, -0.0920616
31.5514963, 15.6176227, -19.8505998, 2.0714254, -0.4673273, 4.0293479, -0.0000000
31.9508823, 15.2526388, -20.0131411, 1.9195658, -0.2999599, 4.0293479, 0.2158544
32.3502684, 14.8684208, -20.1297107, 1.8165119, -0.2212252, 4.0506867, 0.3270264
32.7496544, 14.4752590, -20.2109751, 1.7348767, -0.1893255, 4.0828033, 0.7711277
33.1490404, 14.0768452, -20.2617861, 1.6610721, -0.1792956, 4.1575519, 0.0949875
33.5484265, 13.6764347, -20.2835008, 1.5883838, -0.1863253, 4.1666667, 0.0000000
33.9478125, 13.2774175, -20.2751268, 1.5094223, -0.2145813, 4.1666667, 0.0000000
34.3471985, 12.8814544, -20.2326693, 1.4161205, -0.2496045, 4.1666667, 0.0000000
34.7465845, 12.4908463, -20.1514098, 1.3149648, -0.2536256, 4.1666667, 0.0000000
35.1459706, 12.1100936, -20.0312934, 1.2163614, -0.2399580, 4.1666667, 0.0000000
35.5453566, 11.7428326, -19.8757559, 1.1258646, -0.2126378, 4.1666667, 0.0000000
35.9447426, 11.3900229, -19.6899446, 1.0490441, -0.1716720, 4.1666667, 0.0000000
36.3441287, 11.0503102, -19.4803958, 0.9910542, -0.1152575, 4.1666667, 0.0000000
36.7435147, 10.7198660, -19.2550844, 0.9590980, -0.0357210, 4.1666667, 0.0000000
37.1429007, 10.3924031, -19.0248360, 0.9625491, 0.0493217, 4.1666667, 0.0000000
37.5422868, 10.0610465, -18.8014257, 0.9974713, 0.1181073, 4.1666667, 0.0000000
37.9416728, 9.7203106, -18.5938235, 1.0522727, 0.1544867, 4.1666667, 0.0000000
