# 8d6aa138-5061-4df1-abf3-9fb4a63b367c
# cf8e473bd22a2bc458ef47a988bc0f0f25db0ad3
# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.0000000, 0.0945005, -0.6492913, -1.5470454, -0.1320471, 4.1666667, 0.0000000
0.3999341, 0.4950090, -0.6465466, -1.5709584, 0.0160202, 4.1666667, 0.0000000
0.7998683, 0.8951944, -0.6446151, -1.5632671, -0.0014096, 4.1666667, 0.0000000
1.1998024, 1.2951495, -0.6422770, -1.5664200, -0.0037038, 4.1666667, 0.0000000
1.5997366, 1.6950562, -0.6406356, -1.5669733, -0.0025927, 4.1666667, 0.0000000
1.9996707, 2.0949466, -0.6393960, -1.5684853, -0.0038443, 4.1666667, 0.0000000
2.3996048, 2.4948500, -0.6387697, -1.5699860, -0.0039608, 4.1666667, 0.0000000
2.7995390, 2.8947658, -0.6387777, -1.5716720, -0.0043536, 4.1666667, 0.0000000
3.1994731, 3.2946844, -0.6394805, -1.5734436, -0.0044802, 4.1666667, 0.0000000
3.5994072, 3.6945889, -0.6408980, -1.5752303, -0.0043671, 4.1666667, 0.0000000
3.9993414, 4.0944555, -0.6430104, -1.5768917, -0.0038352, 4.1666667, 0.0000000
4.3992755, 4.4942699, -0.6457318, -1.5782480, -0.0028556, 4.1666667, 0.0000000
4.7992097, 4.8940007, -0.6489054, -1.5791305, -0.0014870, 4.1666667, 0.0000000
5.1991438, 5.2937239, -0.6523194, -1.5794669, -0.0002952, 4.1666667, 0.0000000
5.5990779, 5.6933480, -0.6557867, -1.5794418, 0.0003091, 4.1666667, 0.0000000
5.9990121, 6.0930967, -0.6592446, -1.5795779, -0.0013468, 4.1666667, 0.0000000
6.3989462, 6.4931018, -0.6629018, -1.5803732, -0.0025188, 4.1666667, 0.0000000
6.7988804, 6.8931152, -0.6669475, -1.5814697, -0.0029118, 4.1666667, 0.0000000
7.1988145, 7.2930734, -0.6714704, -1.5827957, -0.0037390, 4.1666667, 0.0000000
7.5987486, 7.6929960, -0.6765449, -1.5841028, -0.0027443, 4.1666667, 0.0000000
7.9986828, 8.0928920, -0.6822427, -1.5864075, -0.0089179, 4.1666667, -0.4500341
8.3986169, 8.4927432, -0.6887576, -1.5865628, 0.0085848, 4.1232442, -2.2378189
8.7985510, 8.8925951, -0.6961539, -1.5970142, -0.0634467, 3.9001516, -2.3824437
9.1984852, 9.2922147, -0.7147185, -1.6454959, -0.1827513, 3.6476762, -2.4846121
9.5984193, 9.6894711, -0.7609203, -1.7312590, -0.2414408, 3.3642502, -1.8431245
9.9983535, 10.0775152, -0.8567320, -1.9400505, -0.8891632, 3.1375026, -0.6457782
10.3982876, 10.4155661, -1.0651055, -2.2971591, -0.8140701, 3.0540767, 1.5280657
10.7982217, 10.6745288, -1.3685106, -2.5477260, -0.4479002, 3.2480203, 2.1301440
11.1981559, 10.8729503, -1.7157518, -2.6830251, -0.2338689, 3.5004958, 2.5811669
11.5980900, 11.0384747, -2.0808136, -2.7340210, -0.0360109, 3.7839218, 2.2096199
11.9980242, 11.1937629, -2.4493270, -2.7524003, -0.0423904, 4.0106694, 1.2921917
12.3979583, 11.3432674, -2.8195331, -2.7607914, -0.0081665, 4.1375176, 0.3026235
12.7978924, 11.4914462, -3.1902652, -2.7607638, 0.0088408, 4.1666667, 0.0000000
13.1978266, 11.6403892, -3.5612636, -2.7606131, -0.0114725, 4.1666667, 0.0000000
13.5977607, 11.7879983, -3.9320555, -2.7653024, -0.0251035, 4.1666667, 0.0000000
13.9976948, 11.9315275, -4.3049264, -2.7846414, -0.0447670, 4.1666667, 0.0000000
14.3976290, 12.0688193, -4.6805254, -2.7968751, -0.0323180, 4.1666667, 0.0000000
14.7975631, 12.2014616, -5.0579157, -2.8088549, -0.0133035, 4.1666667, 0.0000000
15.1974973, 12.3317577, -5.4361531, -2.8106903, -0.0074444, 4.1666667, 0.0000000
15.5974314, 12.4609979, -5.8147395, -2.8145907, -0.0091248, 4.1666667, 0.0000000
15.9973655, 12.5888343, -6.1937749, -2.8179840, -0.0083892, 4.1666667, 0.0000000
16.3972997, 12.7154059, -6.5732412, -2.8212547, -0.0076913, 4.1666667, 0.0000000
16.7972338, 12.8408204, -6.9531290, -2.8241171, -0.0066005, 4.1666667, 0.0000000
17.1971680, 12.9652461, -7.3333944, -2.8265366, -0.0054434, 4.1666667, 0.0000000
17.5971021, 13.0888555, -7.7139704, -2.8284746, -0.0042347, 4.1666667, 0.0000000
17.9970362, 13.2118235, -8.0947696, -2.8299322, -0.0030596, 4.1666667, 0.0000000
18.3969704, 13.3343164, -8.4756945, -2.8309314, -0.0019554, 4.1666667, 0.0000000
18.7969045, 13.4564879, -8.8566475, -2.8315121, -0.0009622, 4.1666667, 0.0000000
19.1968386, 13.5784730, -9.2375343, -2.8317294, -0.0001268, 4.1666667, 0.0000000
19.5967728, 13.7004474, -9.6184698, -2.8316507, 0.0005083, 4.1666667, 0.0000000
19.9967069, 13.8225134, -9.9994356, -2.8313554, 0.0009291, 4.1666667, 0.0000000
20.3966411, 13.9447183, -10.3803552, -2.8309336, 0.0011194, 4.1666667, 0.0000000
20.7965752, 14.0670786, -10.7611771, -2.8304811, 0.0010779, 4.1666667, 0.0000000
21.1965093, 14.1895808, -11.1418811, -2.8300899, 0.0008283, 4.1666667, 0.0000000
21.5964435, 14.3121868, -11.5224786, -2.8298337, 0.0004421, 4.1666667, 0.0000000
21.9963776, 14.4348463, -11.9030132, -2.8297403, 0.0000495, 4.1666667, 0.0000000
22.3963118, 14.5575168, -12.2835501, -2.8297742, -0.0001455, 4.1666667, 0.0000000
22.7962459, 14.6802083, -12.6641859, -2.8297470, 0.0002794, 4.1666667, 0.0000000
23.1961800, 14.8029352, -13.0447920, -2.8295650, 0.0006303, 4.1666667, 0.0000000
23.5961142, 14.9257527, -13.4254121, -2.8293978, 0.0001382, 4.1666667, 0.0000000
23.9960483, 15.0486227, -13.8061642, -2.8295708, -0.0011362, 4.1666667, 0.0000000
24.3959824, 15.1713544, -14.1871055, -2.8303946, -0.0031480, 4.1666667, 0.0000000
24.7959166, 15.2936277, -14.5682852, -2.8321527, -0.0057605, 4.1666667, 0.0000000
25.1958507, 15.4150231, -14.9497663, -2.8350558, -0.0087749, 4.1666667, 0.0000000
25.5957849, 15.5350654, -15.3316498, -2.8392126, -0.0118894, 4.1666667, 0.0000000
25.9957190, 15.6532761, -15.7140712, -2.8445670, -0.0145728, 4.1666667, 0.0000000
26.3956531, 15.7692504, -16.0971505, -2.8507701, -0.0158536, 4.1666667, 0.0000000
26.7955873, 15.8827800, -16.4808449, -2.8569439, -0.0140190, 4.1666667, 0.0000000
27.1955214, 15.9940882, -16.8647542, -2.8613679, -0.0068170, 4.1666667, -0.1235486
27.5954556, 16.1041589, -17.2480578, -2.8616747, 0.0061759, 4.1547910, -2.0789387
27.9953897, 16.2150444, -17.6312689, -2.8579338, 0.0095027, 3.9496090, -4.0608892
28.3953238, 16.3267552, -18.0138749, -2.8598906, -0.0402334, 3.5144324, -3.7345109
28.7952580, 16.4330075, -18.3983667, -2.8796538, 0.0197599, 3.0600847, -3.3494086
29.1951921, 16.5347827, -18.7871272, -2.9298001, -0.4719068, 2.5855430, -2.1777441
29.5951262, 16.5511415, -19.1839643, 2.9042291, -2.0886987, 2.2233137, -0.2796222
29.9950604, 16.2932672, -19.4606113, 1.8471144, -1.9218144, 2.1724325, 1.7787294
30.3949945, 15.8833286, -19.4864392, 1.4914574, -0.9363609, 2.4783487, 3.0284647
30.7949287, 15.5086989, -19.3991367, 1.3287669, 0.3628535, 2.9265313, 3.7540081
31.1948628, 15.1194285, -19.3201230, 1.3859705, 0.0028380, 3.4010729, 3.3563905
31.5947969, 14.7261158, -19.2450543, 1.3767950, -0.0255240, 3.7751778, 2.4990826
31.9947311, 14.3323247, -19.1654957, 1.3645598, -0.0447894, 4.0312410, 1.3238034
32.3946652, 13.9404223, -19.0792396, 1.3430362, -0.0575774, 4.1605015, 0.0641836
32.7945994, 13.5506199, -18.9834736, 1.3133029, -0.1049467, 4.1666667, 0.0000000
33.1945335, 13.1659358, -18.8718807, 1.2619366, -0.1321138, 4.1666667, 0.0000000
33.5944676, 12.7882632, -18.7407291, 1.2139993, -0.0887659, 4.1666667, 0.0000000
33.9944018, 12.4151796, -18.5963719, 1.1938941, -0.0208424, 4.1666667, 0.0000000
34.3943359, 12.0433601, -18.4486029, 1.1933764, 0.0078171, 4.1666667, 0.0000000
34.7942700, 11.6713605, -18.3014774, 1.1942646, -0.0016295, 4.1666667, 0.0000000
