# 12df866b-f4c3-47cd-9028-8944b78191dd
# 77e24df4c8407b98c5c39d2a329ddbf18247a2ee
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.1421314; 6.3824842; 1.2674161; -1.2682956; 1.0000000; 0.0000000
0.1981822; 4.9693626; 6.4557610; 1.0978068; -0.4739488; 1.0000000; 0.0000000
0.3963645; 4.7906903; 6.5523775; 1.0710876; 0.0386450; 1.0000000; 0.0000000
0.5945467; 4.6239105; 6.6430878; 1.0724982; -0.0168111; 1.0000000; 0.0000000
0.7927290; 4.4405822; 6.7435741; 1.0650580; -0.0526217; 1.0000000; 0.0000000
0.9909112; 4.2633431; 6.8429395; 1.0553225; -0.0368828; 1.0000000; 0.0000000
1.1890935; 4.0893938; 6.9421994; 1.0497869; -0.0188400; 1.0000000; 0.0000000
1.3872757; 3.9156916; 7.0422187; 1.0461744; -0.0626417; 1.0000000; 0.0000000
1.5854580; 3.7376272; 7.1491909; 1.0014232; -0.4164740; 1.0000000; 0.0000000
1.7836402; 3.5874887; 7.2579238; 0.8632429; -1.1402654; 1.0000000; 0.0000000
1.9818224; 3.4547814; 7.4096395; 0.5423491; -2.0573840; 1.0000000; 0.0000000
2.1800047; 3.3909153; 7.5932780; 0.1494862; -1.5027295; 1.0000000; 0.0000000
2.3781869; 3.3831132; 7.7907699; -0.0443821; -0.8755385; 1.0000000; 0.0000000
2.5763692; 3.4073720; 7.9696957; -0.2543857; -2.2409696; 1.0000000; 0.0000000
2.7745514; 3.5009261; 8.1513378; -0.6450961; -1.2263085; 1.0000000; 0.0000000
2.9727337; 3.6345513; 8.2886341; -0.9150631; -1.7297064; 1.0000000; 0.0000000
3.1709159; 3.8204667; 8.3756030; -1.3911950; -2.6885485; 1.0000000; 0.0000000
3.3690982; 4.0033074; 8.3720946; -1.7453455; -1.2907253; 1.0000000; 0.0000000
3.5672804; 4.2008878; 8.3159112; -1.9259723; -0.5685340; 1.0000000; 0.0000000
3.7654626; 4.3922574; 8.2348224; -2.0076788; -0.2889964; 1.0000000; 0.0000000
3.9636449; 4.5710217; 8.1459440; -2.0524144; -0.1601335; 1.0000000; 0.0000000
4.1618271; 4.7445526; 8.0526609; -2.0714432; -0.0313378; 1.0000000; 0.0000000
4.3600094; 4.9216578; 7.9558829; -2.0679015; 0.0498999; 1.0000000; 0.0000000
4.5581916; 5.0970959; 7.8623003; -2.0515091; 0.1174065; 1.0000000; 0.0000000
4.7563739; 5.2714271; 7.7744576; -2.0215766; 0.1401269; 1.0000000; 0.0000000
4.9545561; 5.4624159; 7.6816436; -2.0436213; -0.4047612; 1.0000000; 0.0000000
5.1527384; 5.6207003; 7.5872149; -2.2112566; -1.6651444; 1.0000000; 0.0000000
5.3509206; 5.7607783; 7.4347846; -2.5637233; -1.1420093; 1.0000000; 0.0000000
5.5491028; 5.8579226; 7.2723290; -2.6322267; -1.3294844; 1.0000000; 0.0000000
5.7472851; 5.9047421; 7.0955871; 3.1172280; -2.3910208; 1.0000000; 0.0000000
5.9454673; 5.8621093; 6.8945304; 2.7868714; -1.1822802; 1.0000000; 0.0000000
6.1436496; 5.7782897; 6.7215947; 2.6082856; -0.7237735; 1.0000000; 0.0000000
6.3418318; 5.6616845; 6.5510701; 2.4725908; -0.8745294; 1.0000000; 0.0000000
6.5400141; 5.5194060; 6.4119452; 2.1660422; -2.4369442; 1.0000000; 0.0000000
6.7381963; 5.3392783; 6.3531270; 1.6155924; -2.3783637; 1.0000000; 0.0000000
6.9363786; 5.1421314; 6.3824842; 1.2674161; -1.2682956; 1.0000000; 0.0000000
